title,author,category,publish_year,title_id,author_id,cover_url,book_stats,descriptions,reading_stats
Deliverer,C. J. Cherryh,science_fiction,First published in 2007,/works/OL60564W?edition=ia%3Adeliverer0000cher,/authors/OL2644750A/C._J._Cherryh,//covers.openlibrary.org/b/olid/OL17994233M-M.jpg,"Publish Date 2007|Publisher  DAW Books,              Distributed by the Penguin Group|Language English|Pages 357","From its beginnings as a human-alien story of first contact, the Foreigner series has become a true science fiction odyssey. The ninth book in the epic series, and the third book in the third Foreigner trilogy, Deliverer is a worthy contribution to Cherryh's magnum opus that is destined to be a classic.   Read more Read less",5 Want to read|0 Currently reading|1 Have read
The Altered I,Ursula K. Le Guin,science_fiction,First published in 1976,/works/OL15056520W?edition=ia%3Aalteredi0000unse,/authors/OL31353A/Ursula_K._Le_Guin,//covers.openlibrary.org/b/olid/OL7500921M-M.jpg,"Publish Date May 1, 1978|Publisher  Berkley",This edition doesn't have a description yet. Can you add one?,7 Want to read|0 Currently reading|0 Have read
"Sundance, and other science fiction stories",Robert Allan Silverberg,science_fiction,First published in 1974,/works/OL1960599W?edition=ia%3Asundanceothersci0000silv,/authors/OL1124085A/Robert_Allan_Silverberg,//covers.openlibrary.org/b/olid/OL5258384M-M.jpg,Publish Date 1975|Publisher  Abelard-Schuman|Language English|Pages 192,This edition doesn't have a description yet. Can you add one?,1 Want to read|0 Currently reading|0 Have read
Username: Regenerated,Joe Sugg,science_fiction,First published in 2016,/works/OL20670494W?edition=ia%3Ausernameregenera0000sugg_d5y1,/authors/OL7836684A/Joe_Sugg,//covers.openlibrary.org/b/olid/OL27951019M-M.jpg,"Publish Date Nov 01, 2016|Publisher  Running Press Kids|Pages 192",This edition doesn't have a description yet. Can you add one?,5 Want to read|0 Currently reading|0 Have read
The ledger,Dorothy Uhnak,science_fiction,First published in 1970,/works/OL2684802W?edition=ia%3Aledger00uhna,/authors/OL392067A/Dorothy_Uhnak,//covers.openlibrary.org/b/olid/OL4767684M-M.jpg,Publish Date 1970|Publisher  Simon and Schuster|Language English|Pages 224,This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The Hulk,Acton Figueroa,science_fiction,First published in 2003,/works/OL5722986W?edition=ia%3Ahulkiamhulk00figu,/authors/OL1391793A/Acton_Figueroa,//covers.openlibrary.org/b/olid/OL9232352M-M.jpg,"Publish Date May 27, 2003|Publisher  HarperFestival|Language English|Pages 32",This edition doesn't have a description yet. Can you add one?,3 Want to read|0 Currently reading|0 Have read
Ignition,Kevin J. Anderson,science_fiction,First published in 1998,/works/OL19562259W?edition=ia%3Aignition00ande_544,/authors/OL36575A/Kevin_J._Anderson,//covers.openlibrary.org/b/olid/OL9829476M-M.jpg,Publish Date April 1998|Publisher  Tor Books|Language English|Pages 402,This edition doesn't have a description yet. Can you add one?,1 Want to read|0 Currently reading|1 Have read
Iron Heart,Nina Varela,science_fiction,First published in 2020,/works/OL21177831W,/authors/OL8006548A/Nina_Varela,//covers.openlibrary.org/b/olid/OL28680572M-M.jpg,"Publish Date Sep 08, 2020|Publisher  Quill Tree Books|Pages 416",This edition doesn't have a description yet. Can you add one?,17 Want to read|0 Currently reading|2 Have read
Sweet secrets in Pennsylvania,Cheri Pray Earl,science_fiction,First published in 2013,/works/OL23175767W?edition=ia%3Asweetsecretsinpe0000earl,/authors/OL6475358A/Cheri_Pray_Earl,//covers.openlibrary.org/b/olid/OL31012585M-M.jpg,Publish Date 2013|Publisher  Familius|Language English|Pages 141,"Twins George and Gracie travel back in time to Hershey, Pennsylvania, in 1903 where they become involved in a dangerous game of intrigue when spies try to steal the secret chocolate recipe from Milton Hershey.   Read more Read less",0 Want to read|0 Currently reading|0 Have read
The Cuttlefish,Dave Freer,science_fiction,First published in 2012,/works/OL16546758W?edition=ia%3Acuttlefish0000free,/authors/OL1426372A/Dave_Freer,//covers.openlibrary.org/b/olid/OL25237144M-M.jpg,Publish Date 2012|Publisher  Pyr|Language English,"In an alternate 1976 dominated by coal power and the British Empire, Clara Calland and her mother, an important scientist, embark on a treacherous journey toward freedom in Westralia aboard a smugglers' submarine, the Cuttlefish, pursued by Menshevik spies and Imperial soldiers.   Read more Read less",0 Want to read|0 Currently reading|0 Have read
