title,author,category,publish_year,title_id,author_id,cover_url,book_stats,descriptions,reading_stats
"The 2000 Import and Export Market for Soft, Crude, Refined, and Purified Fixed Vegetable Oils in Morocco (World Trade Report)",Crude The Soft,finance,First published in 2001,/works/OL10882834M,/authors/OL3494533A/Crude_The_Soft,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 21",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The 2000 Import and Export Market for Fixed Vegetable Oils and Fats in South Africa (World Trade Report),Fixed Vegetable Oils and Fats in Albania,finance,First published in 2001,/works/OL10882772M,/authors/OL3495231A/Fixed_Vegetable_Oils_and_Fats_in_Albania,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 44",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The 2000 Import and Export Market for Animal Oils and Fats in Pakistan (World Trade Report),The Animal Oils and Fats Research Group,finance,First published in 2001,/works/OL10882618M,/authors/OL3484402A/The_Animal_Oils_and_Fats_Research_Group,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 19",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The 2000 Import and Export Market for Electric Current in France (World Trade Report),The Electric Current Research Group,finance,First published in 2001,/works/OL10882450M,/authors/OL3484400A/The_Electric_Current_Research_Group,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 17",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2000 Import and Export Market for Animal and Vegetable Oils, Fats, and Waxes in Tanzania (World Trade Report)",Fats The Animal And Vegetable,finance,First published in 2001,/works/OL10882564M,/authors/OL3495232A/Fats_The_Animal_And_Vegetable,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 17",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The 2000 Import and Export Market for Soya Bean Oil in United Kingdom (World Trade Report),The Soya Bean Oil Research Group,finance,First published in 2001,/works/OL10882917M,/authors/OL3484403A/The_Soya_Bean_Oil_Research_Group,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 29",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2000 Import and Export Market for Animal and Vegetable Oils, Fats, and Waxes in Jordan (World Trade Report)",Fats The Animal And Vegetable,finance,First published in 2001,/works/OL10882516M,/authors/OL3495232A/Fats_The_Animal_And_Vegetable,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 22",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The 2000 Import and Export Market for Lubricating Petroleum Oils and Other Heavy Petroleum Oils in Panama (World Trade Report),Lubricating Petroleum Oils and Other Hea,finance,First published in 2001,/works/OL10882117M,/authors/OL3495228A/Lubricating_Petroleum_Oils_and_Other_Hea,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 28",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The 2000 Import and Export Market for Linseed Oil in Mexico (World Trade Report),The Linseed Oil Research Group,finance,First published in 2001,/works/OL10882937M,/authors/OL3484404A/The_Linseed_Oil_Research_Group,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 13",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2000 Import and Export Market for Animal and Vegetable Oils, Fats, and Waxes in Nicaragua (World Trade Report)",Fats The Animal And Vegetable,finance,First published in 2001,/works/OL10882533M,/authors/OL3495232A/Fats_The_Animal_And_Vegetable,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 19",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The 2000 Import and Export Market for Animal Oils and Fats in Sweden (World Trade Report),The Animal Oils and Fats Research Group,finance,First published in 2001,/works/OL10882635M,/authors/OL3484402A/The_Animal_Oils_and_Fats_Research_Group,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 44",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The 2000 Import and Export Market for Mineral Tars and Distillation Products in United Arab Emirates (World Trade Report),The Mineral Tars and Distillation Produc,finance,First published in 2001,/works/OL10882263M,/authors/OL3484398A/The_Mineral_Tars_and_Distillation_Produc,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 15",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The 2000 Import and Export Market for Fixed Vegetable Oils and Fats in Venezuela (World Trade Report),Fixed Vegetable Oils and Fats in Albania,finance,First published in 2001,/works/OL10882790M,/authors/OL3495231A/Fixed_Vegetable_Oils_and_Fats_in_Albania,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 24",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The 2000 Import and Export Market for Fixed Vegetable Oils and Fats in Ecuador (World Trade Report),Fixed Vegetable Oils and Fats in Albania,finance,First published in 2001,/works/OL10882714M,/authors/OL3495231A/Fixed_Vegetable_Oils_and_Fats_in_Albania,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 22",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The 2000 Import and Export Market for Fixed Vegetable Oils and Fats in Chile (World Trade Report),Fixed Vegetable Oils and Fats in Albania,finance,First published in 2001,/works/OL10882705M,/authors/OL3495231A/Fixed_Vegetable_Oils_and_Fats_in_Albania,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 28",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2000 Import and Export Market for Soft, Crude, Refined, and Purified Fixed Vegetable Oils in United States (World Trade Report)",Crude The Soft,finance,First published in 2001,/works/OL10882860M,/authors/OL3494533A/Crude_The_Soft,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 78",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2000 Import and Export Market for Soft, Crude, Refined, and Purified Fixed Vegetable Oils in Israel (World Trade Report)",Crude The Soft,finance,First published in 2001,/works/OL10882824M,/authors/OL3494533A/Crude_The_Soft,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 18",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The 2000 Import and Export Market for Animal Oils and Fats in Finland (World Trade Report),The Animal Oils and Fats Research Group,finance,First published in 2001,/works/OL10882592M,/authors/OL3484402A/The_Animal_Oils_and_Fats_Research_Group,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 20",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The 2000 Import and Export Market for Coconut Oil in Canada (World Trade Report),The Coconut Oil Research Group,finance,First published in 2001,/works/OL10882959M,/authors/OL3484405A/The_Coconut_Oil_Research_Group,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 18",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The 2000 Import and Export Market for Animal Oils and Fats in Chile (World Trade Report),The Animal Oils and Fats Research Group,finance,First published in 2001,/works/OL10882583M,/authors/OL3484402A/The_Animal_Oils_and_Fats_Research_Group,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 23",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The 2000 Import and Export Market for Fixed Vegetable Oils and Fats in Bahrain (World Trade Report),Fixed Vegetable Oils and Fats in Albania,finance,First published in 2001,/works/OL10882697M,/authors/OL3495231A/Fixed_Vegetable_Oils_and_Fats_in_Albania,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 14",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The 2000 Import and Export Market for Coconut Oil in Netherlands (World Trade Report),The Coconut Oil Research Group,finance,First published in 2001,/works/OL10882969M,/authors/OL3484405A/The_Coconut_Oil_Research_Group,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 36",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2000 Import and Export Market for Animal and Vegetable Oils, Fats, and Waxes in Greece (World Trade Report)",Fats The Animal And Vegetable,finance,First published in 2001,/works/OL10882502M,/authors/OL3495232A/Fats_The_Animal_And_Vegetable,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 77",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The 2000 Import and Export Market for Animal Oils and Fats in Mongolia (World Trade Report),The Animal Oils and Fats Research Group,finance,First published in 2001,/works/OL10882612M,/authors/OL3484402A/The_Animal_Oils_and_Fats_Research_Group,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 12",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The 2000 Import and Export Market for Fish and Marine Mammal Fats and Oils in Czech Republic (World Trade Report),The Fish and Marine Mammal Fats and Oils,finance,First published in 2001,/works/OL10882657M,/authors/OL3484401A/The_Fish_and_Marine_Mammal_Fats_and_Oils,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 16",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The 2000 Import and Export Market for Petroleum Jelly and Mineral Waxes in Costa Rica (World Trade Report),The Petroleum Jelly and Mineral Waxes Re,finance,First published in 2001,/works/OL10882164M,/authors/OL3494510A/The_Petroleum_Jelly_and_Mineral_Waxes_Re,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 15",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2000 Import and Export Market for Animal and Vegetable Oils, Fats, and Waxes in Canada (World Trade Report)",Fats The Animal And Vegetable,finance,First published in 2001,/works/OL10882484M,/authors/OL3495232A/Fats_The_Animal_And_Vegetable,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 89",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The 2000 Import and Export Market for Gas Oils in United Arab Emirates (World Trade Report),The Gas Oils Research Group,finance,First published in 2001,/works/OL10882048M,/authors/OL3484397A/The_Gas_Oils_Research_Group,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 24",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The 2000 Import and Export Market for Animal Oils and Fats in Kenya (World Trade Report),The Animal Oils and Fats Research Group,finance,First published in 2001,/works/OL10882608M,/authors/OL3484402A/The_Animal_Oils_and_Fats_Research_Group,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 14",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The 2000 Import and Export Market for Natural and Manufactured Gas in Austria (World Trade Report),Natural and Manufactured Gas Research,finance,First published in 2001,/works/OL10882369M,/authors/OL3494523A/Natural_and_Manufactured_Gas_Research,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 26",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
The 2000 Import and Export Market for Fixed Vegetable Oils and Fats in Honduras (World Trade Report),Fixed Vegetable Oils and Fats in Albania,finance,First published in 2001,/works/OL10882726M,/authors/OL3495231A/Fixed_Vegetable_Oils_and_Fats_in_Albania,/images/icons/avatar_book-sm.png,"Publish Date February 20, 2001|Publisher  Icon Group International|Language English|Pages 18",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
