title,author,category,publish_year,title_id,author_id,cover_url,book_stats,descriptions,reading_stats
"The 2005 Economic and Product Market Databook for Limassol, Cyprus",,business__economics,First published in 2005,/works/OL10368183M,,//covers.openlibrary.org/b/olid/OL10368183M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Oostende, Belgium",,business__economics,First published in 2005,/works/OL10368555M,,/images/icons/avatar_book-sm.png,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for May Pen, Jamaica",,business__economics,First published in 2005,/works/OL10368327M,,//covers.openlibrary.org/b/olid/OL10368327M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Saint George's, Grenada",,business__economics,First published in 2005,/works/OL10368345M,,//covers.openlibrary.org/b/olid/OL10368345M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Saidpur, Bangladesh",,business__economics,First published in 2005,/works/OL10368762M,,//covers.openlibrary.org/b/olid/OL10368762M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for San Juan, Argentina",,business__economics,First published in 2005,/works/OL10368794M,,//covers.openlibrary.org/b/olid/OL10368794M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Tampere, Finland",,business__economics,First published in 2005,/works/OL10368364M,,//covers.openlibrary.org/b/olid/OL10368364M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Santa Luzia (MG), Brazil",,business__economics,First published in 2005,/works/OL10368819M,,/images/icons/avatar_book-sm.png,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Thio, New Caledonia",,business__economics,First published in 2005,/works/OL10369025M,,/images/icons/avatar_book-sm.png,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
"The 2005 Economic and Product Market Databook for Mahina, French Polynesia",,business__economics,First published in 2005,/works/OL10368244M,,//covers.openlibrary.org/b/olid/OL10368244M-M.jpg,"Publish Date April 8, 2005|Publisher  Icon Group International, Inc.|Pages 314",This edition doesn't have a description yet. Can you add one?,0 Want to read|0 Currently reading|0 Have read
